Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,getUserPlaylists,14088,0,6,7.216881729132475,1.0412999999971362,65.08470000017041,174.0,78.84842575824375,0.0,6,8,10,11,15,18,22,25,35,64,65
POST,getUsers,14205,0,10,11.535854868003161,4.889100000127655,68.68309999981648,39974.0,79.50325723281178,0.0,10,13,14,16,19,22,26,29,41,64,69
,Aggregated,28293,0,8,9.385298420103982,1.0412999999971362,68.68309999981648,20156.292439826106,158.35168299105553,0.0,8,11,13,14,17,20,24,27,39,64,69
