Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,GetUserPlaylists,48645,0,0,0.27558844691129614,0,13,65.0,267.9023931419775,0.0,0,0,1,1,1,1,1,1,4,7,13
grpc,GetUsers,48832,0,2,2.118754095674967,2,19,16856.0,268.9322574141031,0.0,2,2,2,2,2,3,3,6,10,15,19
,Aggregated,97477,0,2,1.1989392369482033,0,19,8476.605937810971,536.8346505560806,0.0,2,2,2,2,2,2,3,4,8,14,19
