Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,GetUserPlaylists,56470,0,0,0.07685496723924208,0,20,65.0,314.5205763284596,0.0,0,0,0,0,0,1,1,1,2,5,20
grpc,GetUsers,56282,0,1,1.3524039657439324,1,14,16856.0,313.4734740024502,0.0,1,1,2,2,2,2,2,3,6,10,14
,Aggregated,112752,0,1,0.7135660564779339,0,20,8446.501543209877,627.9940503309098,0.0,1,1,1,1,2,2,2,2,5,10,20
