Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,GetUserPlaylists,14405,0,1,1.0040958000694202,0,23,65.0,80.3223872856197,0.0,1,1,1,1,2,2,3,3,5,8,23
grpc,GetUsers,14246,0,3,3.1150498385511725,1,22,16856.0,79.43580210141883,0.0,3,3,4,4,5,6,7,7,10,20,22
,Aggregated,28651,0,2,2.0537154026037485,0,23,8413.9087989948,159.75818938703853,0.0,2,2,3,3,4,5,6,7,9,20,23
