Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,getUserPlaylists,11577,0,1200,1211.4595701909088,2.8989999991608784,11712.502500000483,186.0,64.83733147893841,0.0,1200,1300,1300,1300,1400,1500,1500,1600,8200,11000,12000
POST,getUsers,11669,0,1200,1223.8508276887453,19.171799999639916,11445.964400000776,43986.0,65.35258020452036,0.0,1200,1300,1300,1400,1400,1500,1500,1600,9400,11000,11000
,Aggregated,23246,0,1200,1217.6797191947064,2.8989999991608784,11712.502500000483,22172.67297599587,130.18991168345877,0.0,1200,1300,1300,1300,1400,1500,1500,1600,8900,11000,12000
