Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,getUserPlaylists,11503,0,73,80.53779364513824,2.7335999998285843,536.9888000000174,186.0,64.37847082363388,0.0,73,95,110,120,150,170,210,230,350,540,540
POST,getUsers,11316,0,84,90.90931754153263,11.95240000015474,498.5087999998541,43986.0,63.331893926822644,0.0,84,100,120,130,160,180,210,240,380,500,500
,Aggregated,22819,0,79,85.68105866164196,2.7335999998285843,536.9888000000174,21906.531136333757,127.71036475045652,0.0,79,100,110,120,150,180,210,230,360,520,540
