Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GetUserPlaylists,3772,0,49,77.72799220573629,2.345200000490877,3917.87419999946,546.0,21.03158921854172,0.0,49,73,88,100,140,190,300,390,3600,3900,3900
POST,GetUsers,3740,0,1600,1668.7791762032143,35.30479999972158,5708.924099999422,91079.0,20.85316640438654,0.0,1600,1800,1900,2000,2100,2300,3700,4200,5600,5700,5700
,Aggregated,7512,0,310,869.8647637912738,2.345200000490877,5708.924099999422,45619.671458998935,41.88475562292826,0.0,320,1500,1600,1700,2000,2100,2400,3800,5500,5700,5700
