Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GetUserPlaylists,3458,0,3900,3815.38691500868,8.482299999741372,5084.698499999831,656.0,19.329260370859068,0.0,3900,4000,4100,4200,4300,4400,4500,4600,5100,5100,5100
POST,GetUsers,3452,0,5800,5730.250713441476,117.59739999979502,7423.2492000001,91399.0,19.295722035918306,0.0,5800,6000,6200,6300,6500,6600,6800,6900,7200,7400,7400
,Aggregated,6910,0,4500,4771.987469594797,8.482299999741372,7423.2492000001,45988.10361794501,38.62498240677738,0.0,4500,5600,5800,6000,6300,6500,6700,6800,7100,7400,7400
