Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GetUserPlaylists,44636,0,62,96.68590050183678,1.2644999997064588,1296.7515000000276,666.0,248.82389997741635,0.0,62,73,82,88,110,330,780,840,990,1100,1300
POST,GetUsers,44859,0,64,98.33950472146196,3.7914000004093396,1212.477499999295,59252.0,250.06701606521463,0.0,64,76,85,91,110,250,770,840,970,1100,1200
,Aggregated,89495,0,63,97.51476280350879,1.2644999997064588,1296.7515000000276,30031.99110564836,498.890916042631,0.0,63,74,83,89,110,280,780,840,980,1100,1300
