Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GetUserPlaylists,14144,0,5,6.554573034506079,1.1612000007517054,58.49309999985053,666.0,79.16589077889874,0.0,5,7,9,10,13,16,19,22,31,48,58
POST,GetUsers,14239,0,8,9.522036709035044,3.7769000000480446,48.27309999973295,59252.0,79.69761869349118,0.0,8,10,12,13,16,18,22,24,32,45,48
,Aggregated,28383,0,7,8.043271031955896,1.1612000007517054,58.49309999985053,30057.045837296973,158.86350947238992,0.0,7,9,11,12,15,17,21,23,32,48,58
