Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users,9571,0,1900,1914.6996547696178,6.550600000082341,2363.332800000535,37945.0,53.554002479317454,0.0,1900,2000,2000,2000,2100,2100,2200,2200,2300,2400,2400
GET,/users/[id]/playlists,9423,0,1200,1189.6950180197443,1.5614000003552064,1593.9647000004697,140.0,52.725876644301366,0.0,1200,1300,1300,1300,1400,1400,1500,1500,1500,1600,1600
,Aggregated,18994,0,1500,1555.021930641245,1.5614000003552064,2363.332800000535,19189.787038012004,106.27987912361883,0.0,1500,1900,1900,2000,2000,2100,2200,2200,2300,2400,2400
