Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users,13855,0,14,28.802576217974742,5.605399999694782,451.88730000063515,37784.0,77.5087248843199,0.0,14,18,22,24,35,79,310,350,420,440,450
GET,/users/[id]/playlists,13744,0,5,5.914059087599596,1.3533000001189066,49.03850000027887,93.0,76.88776000072846,0.0,5,6,7,8,11,16,20,23,36,48,49
,Aggregated,27599,0,8,17.404345142940212,1.3533000001189066,451.88730000063515,19014.294430957645,154.39648488504835,0.0,8,12,15,17,24,35,180,310,400,440,450
