Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/users,14385,0,6,6.485319103231933,2.0089000004190893,23.267800000212446,37945.0,80.5000864279299,0.0,6,7,8,9,11,12,14,15,19,23,23
GET,/users/[id]/playlists,14255,0,4,4.999834051208674,0.9141000000454369,21.69739999999365,140.0,79.7725917295892,0.0,4,6,7,7,9,11,13,14,18,21,22
,Aggregated,28640,0,5,5.745947964384497,0.9141000000454369,23.267800000212446,19128.300453910615,160.2726781575191,0.0,5,7,8,8,10,12,13,15,19,22,23
